city,hotel_names,stars,rating,price,hotel_lat,hotel_lon,adresses,descriptions,link
Aigues Mortes,L'Aube Ensoleillée entre Plage et Pinède,4,10.0,500,43.5505113,4.1259703,"1140 Avenue de la Pinède Résidence L'Aube, 30240 Le Grau-du-Roi, France","The apartment has 2 bedrooms, a kitchen with fridge and oven, and 1 bathroom with a shower, a hairdryer and a washing machine. A TV is offered.",https://www.booking.com/hotel/fr/sunny-dawn.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuAL0wsuiBsACAdICJDU3ZmUxYTBjLTA5ZDEtNGE5My1hZWQ1LWJiNzdjZDhmMjJjZNgCBOACAQ&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=47&sr_order=popularity&srpvid=e05b9ebaed47027b&srepoch=1683153269&all_sr_blocks=954231202_367946940_4_0_0&highlighted_blocks=954231202_367946940_4_0_0&matching_block_id=954231202_367946940_4_0_0&sr_pri_blocks=954231202_367946940_4_0_0__49952&from=searchresults#hotelTmpl
Aigues Mortes,Marcelle en Camargue,4,9.9,858,43.5661556,4.192345,"40 Rue Pasteur, 30220 Aigues-Mortes, France","At the guest house, rooms are equipped with a desk, bed linen and a patio with pool view. With a private bathroom fitted with a shower and free toiletries, rooms at Marcelle en Camargue also boast free WiFi, while some rooms have a city view. At the accommodation, every room is equipped with air conditioning and a safety deposit box.",https://www.booking.com/hotel/fr/marcelle-en-camargue.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=882209702_357524645_2_1_0&highlighted_blocks=882209702_357524645_2_1_0&matching_block_id=882209702_357524645_2_1_0&sr_pri_blocks=882209702_357524645_2_1_0__85787&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aigues Mortes,Mazet du pêcheur,4,9.7,1453,43.5719752,4.2202027,"Les Courèges, 30220 Saint-Laurent-dʼAigouze, France","This holiday home is fitted with 3 bedrooms, a kitchen with a fridge and an oven, a flat-screen TV, a seating area and 2 bathrooms fitted with a shower. Towels and bed linen are offered in the holiday home.",https://www.booking.com/hotel/fr/mazet-du-pecheur.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=897261201_369639574_4_0_0&highlighted_blocks=897261201_369639574_4_0_0&matching_block_id=897261201_369639574_4_0_0&sr_pri_blocks=897261201_369639574_4_0_0__145292&from=searchresults#hotelTmpl
Aigues Mortes,Boutique Hôtel des Remparts & Spa,5,9.5,1943,43.56803552,4.1903438,"6, Place Anatole France, 30220 Aigues-Mortes, France","Located in a former military station dating from the 18th-century, inside the medieval ramparts of Aigues-Mortes, this refined hotel offers a bar and a terrace with sun loungers. There is also a spa with an indoor heated pool. This boutique hotel is located opposite the Tower of Constance and The Centre for National Monuments.",https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=32340507_92135418_0_2_0&highlighted_blocks=32340507_92135418_0_2_0&matching_block_id=32340507_92135418_0_2_0&sr_pri_blocks=32340507_92135418_0_2_0__194260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aigues Mortes,Maison Diderot,3,9.5,954,43.5676366,4.1924715,"7 Boulevard Diderot, 30220 Aigues-Mortes, France","This holiday home is fitted with 4 bedrooms, a kitchen with a fridge and an oven, a flat-screen TV, a seating area and 2 bathrooms fitted with a bath or shower. Towels and bed linen are offered in the holiday home.",https://www.booking.com/hotel/fr/maison-diderot-aigues-mortes2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=974779401_369859505_8_0_0&highlighted_blocks=974779401_369859505_8_0_0&matching_block_id=974779401_369859505_8_0_0&sr_pri_blocks=974779401_369859505_8_0_0__95380&from=searchresults#hotelTmpl
Aigues Mortes,Maison d'Hôtes Mas de Barbut,4,9.5,680,43.62323536,4.18014228,"Chemin de la Carrière Neuve, 30220 Saint-Laurent-dʼAigouze, France",Each room has a private bathroom with a hairdryer and free toiletries. The rooms are equipped with a kettle and courtesy tray and certain rooms have a private terrace. A TV is available upon request.,https://www.booking.com/hotel/fr/maison-d-ha-tes-mas-de-barbut.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuALhwsuiBsACAdICJDE0OTk1ZTIxLTRjM2MtNGU1MC1hYjBjLTRkOTdiNmIzYjY1N9gCBOACAQ&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=85&sr_order=popularity&srpvid=8aaf9eb09f31026c&srepoch=1683153250&all_sr_blocks=50669703_325531831_0_1_0&highlighted_blocks=50669703_325531831_0_1_0&matching_block_id=50669703_325531831_0_1_0&sr_pri_blocks=50669703_325531831_0_1_0__68000&from=searchresults#hotelTmpl
Aigues Mortes,B&B La Terre Brûlée,3,9.2,608,43.56197612,4.20767969,"913 Chemin D'esparron, 30220 Aigues-Mortes, France","There is a private bathroom with shower in all units, along with free toiletries and a hairdryer.",https://www.booking.com/hotel/fr/b-amp-b-la-terre-brulee.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=168292201_326760102_2_1_0&highlighted_blocks=168292201_326760102_2_1_0&matching_block_id=168292201_326760102_2_1_0&sr_pri_blocks=168292201_326760102_2_1_0__60800&from=searchresults#hotelTmpl
Aigues Mortes,La Villa Mazarin,5,9.1,1353,43.56498662,4.19175196,"35 boulevard Gambetta, 30220 Aigues-Mortes, France","Set in a building dating from the 15th century, La Villa Mazarin is located in the fortified city of Aigues-Mortes. It offers a terrace and guests can enjoy a drink at the bar. Free WiFi is available throughout.",https://www.booking.com/hotel/fr/la-villa-mazarin.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=5352120_99734949_0_42_0&highlighted_blocks=5352120_99734949_0_42_0&matching_block_id=5352120_99734949_0_42_0&sr_pri_blocks=5352120_99734949_0_42_0__135260&from=searchresults#hotelTmpl
Aigues Mortes,Mas de la Montille,3,9.1,564,43.58386486,4.23920989,"Route des Saintes Marie de la Mer , 30220 Aigues-Mortes, France","The Mas de la Montille is located in Aigues Mortes, 6.2 miles from Espiguette Beach.  It features a seasonal swimming pool and an orchard in its garden and you can relax in the hot tub.",https://www.booking.com/hotel/fr/mas-de-la-montille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsnCy6IGwAIB0gIkZjdhN2UwNzAtMDk0NC00MWE4LWI3MjQtZjYzZDAzMWYyMzAz2AIG4AIB&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=8db69ea94009051b&srepoch=1683153237&all_sr_blocks=40078901_310847868_0_42_0&highlighted_blocks=40078901_310847868_0_42_0&matching_block_id=40078901_310847868_0_42_0&sr_pri_blocks=40078901_310847868_0_42_0__56400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aigues Mortes,Villa de plein pied - 82 m²,3,9.0,756,43.5480779,4.1315099,"394 Rue des Flamboyants, 30240 Le Grau-du-Roi, France","The air-conditioned villa consists of 2 bedrooms, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a bidet and a shower. For added convenience, the property can provide towels and bed linen for an extra charge.",https://www.booking.com/hotel/fr/villa-de-plein-pied-82-m2.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSAlYA2hNiAEBmAEJuAEKyAEF2AED6AEB-AEDiAIBmAICqAIDuALzwsuiBsACAdICJDljNjMzNjVjLTEwZjQtNGIzYS04ZjFjLTJkODY0OTkwYzRlYdgCBOACAQ&ucfs=1&arphpl=1&checkin=2023-05-04&checkout=2023-05-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=71&sr_order=popularity&srpvid=d59b9eb9607600f4&srepoch=1683153269&all_sr_blocks=881904101_359978635_5_0_0&highlighted_blocks=881904101_359978635_5_0_0&matching_block_id=881904101_359978635_5_0_0&sr_pri_blocks=881904101_359978635_5_0_0__75640&from=searchresults#hotelTmpl
