id,city,lat,lon,weather,pop,rain,humidity,temp,wind_speed
2,Aix en Provence,43.5298424,5.4474738,Clouds,0.01,0.18,51.82,19.06,2.61
6,Avignon,43.9492493,4.8059012,Clouds,0.04,0.34,57.9,18.67,3.53
25,Marseille,43.2961743,5.3699525,Clouds,0.01,0.63,62.4,18.66,2.97
13,Cassis,43.2140359,5.5396318,Clouds,0.02,0.12,62.02,18.49,2.54
15,Collioure,42.52505,3.0831554,Clouds,0.07,0.91,69.38,18.47,3.94
28,Nimes,43.8374249,4.3600687,Clouds,0.07,1.44,61.1,18.2,2.86
12,Carcassonne,43.2130358,2.3491069,Clouds,0.18,0.48,71.85,17.64,4.09
1,Aigues Mortes,43.5658225,4.1912837,Clouds,0.07,0.92,68.4,17.62,2.55
35,Uzes,44.0121279,4.4196718,Clouds,0.07,1.22,61.7,17.54,2.95
11,Bormes les Mimosas,43.1506968,6.3419285,Clouds,0.02,0.42,67.28,17.42,2.41
20,Grenoble,45.1875602,5.7357819,Clouds,0.3,1.24,79.85,17.3,1.39
31,Saintes Maries de la mer,43.4522771,4.4287172,Clouds,0.06,1.29,71.15,17.24,2.98
27,Montauban,44.0175835,1.3549991,Clouds,0.2,1.11,77.88,17.18,2.72
34,Toulouse,43.6044622,1.4442469,Clouds,0.23,0.97,76.45,17.16,3.1
24,Lyon,45.7578137,4.8320114,Clouds,0.31,1.97,77.4,16.74,1.63
8,Bayonne,43.4945144,-1.4736657,Clouds,0.08,0.38,81.53,15.91,2.57
10,Biarritz,43.471143749999996,-1.552726590666314,Clouds,0.07,0.31,81.35,15.56,2.6
4,Annecy,45.8992348,6.1288847,Clouds,0.36,1.42,80.82,15.42,1.1
33,Strasbourg,48.584614,7.7507127,Clouds,0.34,1.24,80.45,15.15,1.5
29,Paris,48.8534951,2.3483915,Clouds,0.26,0.95,78.08,15.1,2.8
21,La Rochelle,46.1591126,-1.1520434,Clouds,0.13,0.32,83.52,15.04,4.1
19,Gorges du Verdon,43.7496562,6.3285616,Clouds,0.07,0.3,62.65,15.01,1.87
32,St Malo,48.649518,-2.0260409,Clouds,0.36,0.73,85.85,13.78,5.41
23,Lille,50.6365654,3.0635282,Clouds,0.31,1.04,82.45,13.58,3.69
30,Rouen,49.4404591,1.0939658,Clouds,0.34,0.74,88.7,13.38,3.71
3,Amiens,49.8941708,2.2956951,Clouds,0.29,0.72,87.65,13.27,3.85
22,Le Havre,49.4938975,0.1079732,Clouds,0.37,1.24,89.48,12.93,4.73
5,Ariege,42.9455368,1.4065544156065486,Clouds,0.23,1.21,75.03,11.72,1.75
18,Eguisheim,48.0447968,7.3079618,Rain,0.42,0.99,82.25,15.53,1.17
16,Colmar,48.0777517,7.3579641,Rain,0.41,0.97,82.1,15.42,1.2
9,Besancon,47.2380222,6.0243622,Rain,0.41,0.96,85.0,15.07,1.76
17,Dijon,47.3215806,5.0414701,Rain,0.35,0.68,83.32,14.81,2.25
26,Mont Saint Michel,48.6359541,-1.511459954959514,Rain,0.39,0.96,88.4,13.83,4.81
7,Bayeux,49.2764624,-0.7024738,Rain,0.36,0.79,88.92,13.2,4.78
14,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,Rain,0.4,1.02,81.85,12.39,1.22
