id,city,lat,lon,weather,pop,rain,humidity,temp,wind_speed
25,Marseille,43.2961743,5.3699525,Clear,0.2,3.17,61.25,17.15,6.37
13,Cassis,43.2140359,5.5396318,Clear,0.22,3.4,61.28,17.01,6.28
2,Aix en Provence,43.5298424,5.4474738,Clear,0.21,1.91,58.15,16.04,4.37
1,Aigues Mortes,43.5658225,4.1912837,Clouds,0.08,0.58,56.75,16.93,4.8
31,Saintes Maries de la mer,43.4522771,4.4287172,Clouds,0.11,0.78,60.7,16.71,5.77
28,Nimes,43.8374249,4.3600687,Clouds,0.09,0.36,54.25,16.49,4.31
15,Collioure,42.52505,3.0831554,Clouds,0.19,0.96,61.55,16.49,7.21
11,Bormes les Mimosas,43.1506968,6.3419285,Clouds,0.28,2.94,66.18,16.33,4.66
6,Avignon,43.9492493,4.8059012,Clouds,0.12,0.51,60.9,16.12,5.61
35,Uzes,44.0121279,4.4196718,Clouds,0.08,0.42,58.48,15.37,4.52
29,Paris,48.8534951,2.3483915,Clouds,0.45,1.61,81.1,12.98,3.27
24,Lyon,45.7578137,4.8320114,Clouds,0.31,0.92,80.38,12.69,2.33
18,Eguisheim,48.0447968,7.3079618,Clouds,0.36,0.86,82.05,12.33,1.96
26,Mont Saint Michel,48.6359541,-1.511459954959514,Clouds,0.35,1.14,85.1,12.27,5.17
33,Strasbourg,48.584614,7.7507127,Clouds,0.33,1.08,83.8,12.26,2.52
16,Colmar,48.0777517,7.3579641,Clouds,0.36,0.79,82.6,12.25,2.07
32,St Malo,48.649518,-2.0260409,Clouds,0.32,1.08,86.2,12.04,6.17
7,Bayeux,49.2764624,-0.7024738,Clouds,0.3,0.83,88.08,11.81,5.56
17,Dijon,47.3215806,5.0414701,Clouds,0.29,0.84,86.12,11.33,2.94
14,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,Clouds,0.33,0.96,83.98,8.97,1.9
21,La Rochelle,46.1591126,-1.1520434,Rain,0.47,1.1,79.47,13.67,6.33
12,Carcassonne,43.2130358,2.3491069,Rain,0.33,0.71,76.68,13.55,5.69
8,Bayonne,43.4945144,-1.4736657,Rain,0.68,1.68,83.2,13.41,3.76
10,Biarritz,43.471143749999996,-1.552726590666314,Rain,0.68,1.71,82.02,13.25,4.12
20,Grenoble,45.1875602,5.7357819,Rain,0.37,1.52,87.45,12.84,1.49
34,Toulouse,43.6044622,1.4442469,Rain,0.51,0.98,80.7,12.61,4.22
27,Montauban,44.0175835,1.3549991,Rain,0.45,0.94,81.88,12.57,3.42
23,Lille,50.6365654,3.0635282,Rain,0.4,1.44,83.25,12.42,4.12
22,Le Havre,49.4938975,0.1079732,Rain,0.37,0.87,85.4,12.18,6.24
30,Rouen,49.4404591,1.0939658,Rain,0.48,1.38,88.88,11.91,4.61
3,Amiens,49.8941708,2.2956951,Rain,0.43,1.22,87.45,11.84,4.48
9,Besancon,47.2380222,6.0243622,Rain,0.37,1.44,85.9,11.63,2.2
4,Annecy,45.8992348,6.1288847,Rain,0.48,1.59,86.78,11.52,1.23
19,Gorges du Verdon,43.7496562,6.3285616,Rain,0.36,1.93,75.3,11.51,2.02
5,Ariege,42.9455368,1.4065544156065486,Rain,0.49,1.05,84.45,6.14,2.11
